"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC1100013040.hg.1","TC1100013040.hg.1","TM7SF2","transmembrane 7 superfamily member 2",1.54624842935463,8.48699467764378,13.6703097036615,5.44500534675519e-08,5.14649093598014e-05,8.89644163610072
"TC1600010006.hg.1","TC1600010006.hg.1","PRSS8","serine protease 8",0.900668475067164,9.82410524153548,13.5503126013766,5.94233173906814e-08,5.30452146574149e-05,8.81823913919757
"TC0100007552.hg.1","TC0100007552.hg.1","SESN2","sestrin 2",1.15507446130847,8.78865798034244,13.267917155666,7.31973904491885e-08,6.19018773546085e-05,8.63079766525761
"TC1900009201.hg.1","TC1900009201.hg.1","MKNK2","MAPK interacting serine/threonine kinase 2",1.07646058231521,8.65569292164723,13.1625379354438,7.92000118856748e-08,6.36292895489511e-05,8.55960278342442
"TC0500007738.hg.1","TC0500007738.hg.1","MAP1B","microtubule associated protein 1B",1.44264314350516,7.8335242265866,13.0412873019235,8.67791516617402e-08,6.63984480428973e-05,8.47682801679312
"TC0800011881.hg.1","TC0800011881.hg.1","NDRG1","N-myc downstream regulated 1",0.856158003017699,9.23506847542867,12.8034779576453,1.04046365436975e-07,7.59916818109689e-05,8.31176801668266
"TC1400006715.hg.1","TC1400006715.hg.1","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial",1.47969866444518,8.00298076568262,12.7061547315016,1.12164945866853e-07,7.83594065299389e-05,8.24316157129671
"TC0500010635.hg.1","TC0500010635.hg.1","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1",1.22433619662085,7.9106574114883,12.6493917123156,1.17217168220604e-07,7.84768941236944e-05,8.20285972817688
"TC0100018507.hg.1","TC0100018507.hg.1","ARHGEF2","Rho/Rac guanine nucleotide exchange factor 2",0.838567814027061,8.92455763818784,12.3474305290449,1.48619709356126e-07,9.55208595973693e-05,7.9848369679736
"TC1400009214.hg.1","TC1400009214.hg.1","BMP4","bone morphogenetic protein 4",-0.753449609857267,10.189087832104,-11.8860599169424,2.15753442000821e-07,0.000133335627156508,7.63950833101289
"TC0500012312.hg.1","TC0500012312.hg.1","SPRY4","sprouty RTK signaling antagonist 4",0.690371827420421,8.14454667127538,11.8372176231057,2.24603261830952e-07,0.000133663896707397,7.60205722607828
"TC0600010057.hg.1","TC0600010057.hg.1","ACAT2","acetyl-CoA acetyltransferase 2",1.13749904304505,8.20302687346386,11.6789445774441,2.56108934285144e-07,0.000144379306251962,7.47948876792178
"TC0600008109.hg.1","TC0600008109.hg.1","VEGFA","vascular endothelial growth factor A",0.915242129297631,9.50974025586036,11.6582149808526,2.60580027464956e-07,0.000144379306251962,7.4632974204955
"TC1900010708.hg.1","TC1900010708.hg.1","BLVRB","biliverdin reductase B",0.659989953244674,10.4628630380962,11.0592744012606,4.34781545331463e-07,0.000232868995679532,6.98120168247416
"TC1400009732.hg.1","TC1400009732.hg.1","ERG28","ergosterol biosynthesis 28 homolog",0.689673885023748,11.0597263296581,10.8339262619328,5.30403508517001e-07,0.000242404449805635,6.79240656418246
"TSUnmapped00000558.hg.1","TSUnmapped00000558.hg.1",NA,NA,0.731739036501475,10.5110179175814,10.8281765198041,5.3312516746226e-07,0.000242404449805635,6.78753455930568
"TC0100008073.hg.1","TC0100008073.hg.1","KDM4A","lysine demethylase 4A",0.757453710113131,8.58800069275757,10.8190863879107,5.37459067556094e-07,0.000242404449805635,6.77982646536406
"TC1000008891.hg.1","TC1000008891.hg.1","DUSP5","dual specificity phosphatase 5",0.686813999461986,10.4760058937041,10.8178458083456,5.38053505595873e-07,0.000242404449805635,6.7787739645087
"TC1900009896.hg.1","TC1900009896.hg.1","CYP4F11","cytochrome P450 family 4 subfamily F member 11",1.02504281803465,8.67035534373745,10.816764543727,5.38572189597963e-07,0.000242404449805635,6.77785652062436
"TC1000008054.hg.1","TC1000008054.hg.1","PLAU","plasminogen activator, urokinase",0.886367899745348,9.24534303148991,10.8073698035001,5.43101829288205e-07,0.000242404449805635,6.76988104658103
"TC0100015872.hg.1","TC0100015872.hg.1","S100A14","S100 calcium binding protein A14",0.810476281651711,9.54172919561882,10.7212230679309,5.86624696020281e-07,0.000254753665287943,6.69640283431672
"TC0100016678.hg.1","TC0100016678.hg.1","NIBAN1","niban apoptosis regulator 1",2.86411316124211,5.53039422866652,10.6612585745546,6.19154714767811e-07,0.000258772268846517,6.64488609426758
"TC1700008228.hg.1","TC1700008228.hg.1","ITGA3","integrin subunit alpha 3",0.694151923100186,9.84946267545237,10.6453900741093,6.28088031180867e-07,0.000258772268846517,6.63120189489573
"TC2000007202.hg.1","TC2000007202.hg.1","ACSS2","acyl-CoA synthetase short chain family member 2",1.88235321563456,6.89290526986096,10.5787971933007,6.67136067640204e-07,0.00026798855837107,6.57354024941983
"23076478","23076478",NA,NA,0.893877717693792,7.73000815397508,10.4342028646578,7.61328348601396e-07,0.000298366436715298,6.44701710743727
"TC1000011585.hg.1","TC1000011585.hg.1","GOT1","glutamic-oxaloacetic transaminase 1",0.6446985842553,11.081524601464,10.3937168182227,7.90226793175473e-07,0.000302318193160559,6.41126313442736
"TC1400010195.hg.1","TC1400010195.hg.1","WARS1","tryptophanyl-tRNA synthetase 1",0.660289308886533,10.7444521199046,10.3620169646103,8.13686597216306e-07,0.000302690725285732,6.38316735244304
"TC1900009893.hg.1","TC1900009893.hg.1","CYP4F2","cytochrome P450 family 4 subfamily F member 2",1.09027822685589,5.95557978101233,10.3420170587783,8.28876768270612e-07,0.000302690725285732,6.36539546038943
"TC0100015847.hg.1","TC0100015847.hg.1","SPRR2D","small proline rich protein 2D",1.86409456348704,6.7179961795181,10.2538704836462,8.99599120993499e-07,0.000321216859469412,6.28664323738789
"TC1000009536.hg.1","TC1000009536.hg.1","IDI1","isopentenyl-diphosphate delta isomerase 1",0.953609504407483,9.45746543592879,10.1678223570643,9.75008995909844e-07,0.000340574881440856,6.20909140348586
"TC0X00006631.hg.1","TC0X00006631.hg.1","TMSB4X","thymosin beta 4 X-linked",0.706463044932034,9.8244584765197,10.1369547028648,1.00371311536667e-06,0.000343141751866205,6.18110774512123
"TC0100009621.hg.1","TC0100009621.hg.1","PHGDH","phosphoglycerate dehydrogenase",0.838560637018622,10.3709461364898,10.0898006177215,1.04935116529487e-06,0.000351270302582457,6.1381910847546
"TC1800007298.hg.1","TC1800007298.hg.1","LIPG","lipase G, endothelial type",1.66966786772893,5.19083541427222,9.90668263424272,1.2491960295161e-06,0.0004071287838418,5.9695783192929
"TC0700009807.hg.1","TC0700009807.hg.1","INSIG1","insulin induced gene 1",1.09754378129061,7.64829446118774,9.89082293955603,1.26835848369496e-06,0.0004071287838418,5.95482736023627
"TC0100015871.hg.1","TC0100015871.hg.1","S100A16","S100 calcium binding protein A16",0.631802620611211,10.1607724160457,9.8616390658047,1.30445992249164e-06,0.0004071287838418,5.92762162135719
"TC0100013949.hg.1","TC0100013949.hg.1","SLC6A9","solute carrier family 6 member 9",0.760442487481078,8.20214739569616,9.85125860290296,1.31756887974693e-06,0.0004071287838418,5.91792532177683
"TC0800011764.hg.1","TC0800011764.hg.1","LRATD2","LRAT domain containing 2",0.888959127451693,7.35601014980258,9.7913470781481,1.3960810570718e-06,0.000418206127584248,5.86176224779021
"TC2200006883.hg.1","TC2200006883.hg.1","SUSD2","sushi domain containing 2",-0.71493734558051,7.07632843530753,-9.76804679038664,1.42797611972957e-06,0.000418206127584248,5.83982720508836
"TC0100009344.hg.1","TC0100009344.hg.1","SARS1","seryl-tRNA synthetase 1",0.706774489796651,9.54122257567296,9.76550746233256,1.43149968988883e-06,0.000418206127584248,5.83743352047806
"23075672","23075672",NA,NA,0.639620500156688,10.7211186472723,9.64665818924356,1.60746809146251e-06,0.00043047995489366,5.72470502354797
"23075844","23075844",NA,NA,0.639620500156688,10.7211186472723,9.64665818924356,1.60746809146251e-06,0.00043047995489366,5.72470502354797
"23075993","23075993",NA,NA,0.639620500156688,10.7211186472723,9.64665818924356,1.60746809146251e-06,0.00043047995489366,5.72470502354797
"23076303","23076303",NA,NA,0.639620500156688,10.7211186472723,9.64665818924356,1.60746809146251e-06,0.00043047995489366,5.72470502354797
"23076462","23076462",NA,NA,0.639620500156688,10.7211186472723,9.64665818924356,1.60746809146251e-06,0.00043047995489366,5.72470502354797
"TC0100010389.hg.1","TC0100010389.hg.1","HSD17B7","hydroxysteroid 17-beta dehydrogenase 7",1.05229141947341,8.62457559548995,9.54792207225664,1.77157234514904e-06,0.000466649581014013,5.63000756186924
"TC1600008005.hg.1","TC1600008005.hg.1","ADGRG1","adhesion G protein-coupled receptor G1",0.873049085885667,8.73890791494135,9.44870432648927,1.95497037365419e-06,0.00050117789226742,5.53387821241578
"TC0600011463.hg.1","TC0600011463.hg.1","NEU1","neuraminidase 1",0.909353577281454,8.20583806746861,9.44355449631727,1.96503654548466e-06,0.00050117789226742,5.52886190169144
"TC0900007667.hg.1","TC0900007667.hg.1","PSAT1","phosphoserine aminotransferase 1",0.662507681887584,11.1333946899493,9.42711097839643,1.99755663552285e-06,0.000501511562805955,5.51282692727032
"TC1800006889.hg.1","TC1800006889.hg.1","RIOK3","RIO kinase 3",0.634035665754608,7.27846103336657,9.33728837951026,2.18583038478818e-06,0.000540337271119639,5.42475548820728
"TC0700011010.hg.1","TC0700011010.hg.1","SUN3","Sad1 and UNC84 domain containing 3",1.07510710912094,7.39645784917666,9.30696295311232,2.25367615488239e-06,0.000548667703888639,5.39483675502959
"TC0700008181.hg.1","TC0700008181.hg.1","GNAI1","G protein subunit alpha i1",-0.722614628357986,8.72481973125569,-9.2896257557394,2.29348842844542e-06,0.000550026448780016,5.37768996339394
"TC1700012093.hg.1","TC1700012093.hg.1","FASN","fatty acid synthase",0.672718193032985,10.9365594139864,9.22010676838416,2.46096967727318e-06,0.000581512658447434,5.30862522691744
"TC0300010913.hg.1","TC0300010913.hg.1","CDCP1","CUB domain containing protein 1",0.674360529203886,10.9784248340498,9.05667327419356,2.90938045537074e-06,0.000677506161694161,5.14428818714381
"TC1600011442.hg.1","TC1600011442.hg.1","MAP1LC3B","microtubule associated protein 1 light chain 3 beta",0.666547366614619,9.62231150457222,8.99362844073174,3.10542851723488e-06,0.000712828934499002,5.08014578239503
"23064950","23064950",NA,NA,0.603367618084205,9.54700152574141,8.93121974273042,3.31369090319383e-06,0.000749920921584766,5.01623463602393
"TC0X00010473.hg.1","TC0X00010473.hg.1","TSC22D3","TSC22 domain family member 3",1.42934771375264,5.99908398688525,8.89149662896261,3.45411101633353e-06,0.000769959054675256,4.97533811524688
"TC1700012346.hg.1","TC1700012346.hg.1","CLDN7","claudin 7",0.551746490064403,11.1346812056758,8.87941988307317,3.49807138357566e-06,0.000769959054675256,4.96287098307833
"TC1100009817.hg.1","TC1100009817.hg.1","PHLDA2","pleckstrin homology like domain family A member 2",0.593834982478135,9.66730605710035,8.86150388629421,3.56440881928861e-06,0.0007739583906531,4.94434685675562
"TC0100010369.hg.1","TC0100010369.hg.1","ATF6","activating transcription factor 6",0.628499689280995,8.98617588277925,8.80617942316368,3.77801790863803e-06,0.000804267773906573,4.88692509750869
"23074634","23074634",NA,NA,1.09000862398711,7.63034570881158,8.79103867364842,3.83886801710449e-06,0.000804267773906573,4.87115238637275
"TC0500013369.hg.1","TC0500013369.hg.1","SIL1","SIL1 nucleotide exchange factor",0.670547612074718,8.62438780889158,8.7705786797786,3.92279035661138e-06,0.000804267773906573,4.84979866177245
"TC0600011880.hg.1","TC0600011880.hg.1","GTPBP2","GTP binding protein 2",1.18536139134751,8.59211873635575,8.76244476498082,3.95670469685805e-06,0.000804267773906573,4.84129672621417
"TC0200006687.hg.1","TC0200006687.hg.1","HPCAL1","hippocalcin like 1",0.675058237770003,9.11642046525741,8.75790146186643,3.97578626704198e-06,0.000804267773906573,4.83654470676147
"TC2000007015.hg.1","TC2000007015.hg.1","PYGB","glycogen phosphorylase B",0.788354482482526,8.38292856956106,8.74076580296696,4.04865777530842e-06,0.000804267773906573,4.81860148071375
"TC1100011514.hg.1","TC1100011514.hg.1","DHCR7","7-dehydrocholesterol reductase",0.649471359183305,11.1511084260162,8.72842593364483,4.10203111137166e-06,0.000804267773906573,4.80566008914072
"HTA2-pos-PSR01009085.hg.1","HTA2-pos-PSR01009085.hg.1",NA,NA,0.673136067119248,6.16380381598683,8.71663782680793,4.15373100421191e-06,0.000804267773906573,4.79328171195741
"TC1600010752.hg.1","TC1600010752.hg.1","AARS1","alanyl-tRNA synthetase 1",0.608115482711282,10.7044708893092,8.71646764707713,4.15448252640313e-06,0.000804267773906573,4.79310289869756
"TC0100011406.hg.1","TC0100011406.hg.1","CD55","CD55 molecule (Cromer blood group)",0.653383027942725,9.32679690024068,8.70520193184774,4.20456188616542e-06,0.000804272623653642,4.78125855210249
"TC0500008941.hg.1","TC0500008941.hg.1","ARHGAP26","Rho GTPase activating protein 26",-0.599674028538461,8.73105426923605,-8.67939219883095,4.32177829072134e-06,0.000816968630297771,4.7540703476181
"TC1100011052.hg.1","TC1100011052.hg.1","FADS3","fatty acid desaturase 3",0.701444271104861,8.52891380031273,8.64641304406531,4.47673786968855e-06,0.000836421210350648,4.7192224479355
"TC0100008938.hg.1","TC0100008938.hg.1","LMO4","LIM domain only 4",0.65544001670402,7.75772117868436,8.61442832608508,4.63279283698319e-06,0.000855628911547654,4.68530981888825
"TC0200007047.hg.1","TC0200007047.hg.1","DPYSL5","dihydropyrimidinase like 5",-0.766426952151101,6.41607604555868,-8.58289351728983,4.79244090153782e-06,0.000875056140976246,4.65176239306744
"TC0100007378.hg.1","TC0100007378.hg.1","CLIC4","chloride intracellular channel 4",0.663954613742291,9.49180372409379,8.55406180985025,4.94363117680559e-06,0.000889607989083719,4.6209930329782
"TC0X00010409.hg.1","TC0X00010409.hg.1","BEX2","brain expressed X-linked 2",0.922869335173651,7.04729344024798,8.54673552245885,4.98286775065563e-06,0.000889607989083719,4.61315948661806
"TC1600011440.hg.1","TC1600011440.hg.1","OSGIN1","oxidative stress induced growth inhibitor 1",0.891990069806772,7.80846605221162,8.49074078004424,5.29413839575951e-06,0.000934793579594107,4.55308765967744
"TC0500012870.hg.1","TC0500012870.hg.1","STC2","stanniocalcin 2",0.627363331862766,9.47466851055357,8.46362828668319,5.45237139136465e-06,0.0009467331558274,4.52387338850388
"TC1100013109.hg.1","TC1100013109.hg.1","GRAMD1B","GRAM domain containing 1B",1.01201852476715,7.19934693388292,8.45904915651773,5.47959817599877e-06,0.0009467331558274,4.51893102790676
"TC1200012859.hg.1","TC1200012859.hg.1","RHOF","ras homolog family member F, filopodia associated",0.526830019212037,10.5549603443314,8.38823312396358,5.91995868383093e-06,0.00101193506523187,4.44219266100513
"TC0100010123.hg.1","TC0100010123.hg.1","FDPS","farnesyl diphosphate synthase",0.61008754161943,10.0258500944221,8.36020888466431,6.10468604599042e-06,0.00102648886965836,4.41166582795531
"TC0300008550.hg.1","TC0300008550.hg.1","CSTA","cystatin A",1.10991341943706,6.37364820344492,8.35601431255263,6.13286852671166e-06,0.00102648886965836,4.4070888877361
"TC0400009033.hg.1","TC0400009033.hg.1","TRIM2","tripartite motif containing 2",0.781615211797357,8.4819004404257,8.31345352063065,6.42693046083658e-06,0.00106114515555414,4.36053329741809
"TSUnmapped00000379.hg.1","TSUnmapped00000379.hg.1",NA,NA,-0.520116172032056,8.58436347515861,-8.30428652548789,6.49224520317924e-06,0.00106114515555414,4.35047839827191
"TC0200015578.hg.1","TC0200015578.hg.1","IDH1","isocitrate dehydrogenase (NADP(+)) 1",0.902170847567871,8.14575129998344,8.29791730282189,6.53804894198779e-06,0.00106114515555414,4.34348651156501
"TC0X00006799.hg.1","TC0X00006799.hg.1","SAT1","spermidine/spermine N1-acetyltransferase 1",0.742599267398754,9.40375170594129,8.24511484794041,6.93153130086121e-06,0.00111375844942238,4.28533996906502
"TC0200012956.hg.1","TC0200012956.hg.1","GFPT1","glutamine--fructose-6-phosphate transaminase 1",0.893844037148593,9.09034831577963,8.2354542601234,7.00625852670795e-06,0.0011146194258133,4.27466637980708
"TC0100011873.hg.1","TC0100011873.hg.1","RNF187","ring finger protein 187",0.54088560389437,8.9802802514083,8.22077270421696,7.12149958986775e-06,0.00112184564127446,4.25842437534315
"TC0600008114.hg.1","TC0600008114.hg.1","C6orf223","chromosome 6 open reading frame 223",1.25265798577379,7.24741755814374,8.18655542651308,7.3981283742406e-06,0.00114754331595415,4.22047193035272
"TSUnmapped00000484.hg.1","TSUnmapped00000484.hg.1",NA,NA,0.522076929796697,10.8636685924297,8.18300817621193,7.42746482818219e-06,0.00114754331595415,4.21652957047978
"TC0700012734.hg.1","TC0700012734.hg.1","CREB3L2","cAMP responsive element binding protein 3 like 2",0.85153814553071,7.3405980500663,8.13522351880931,7.83517146626967e-06,0.00118909572290566,4.16327742474905
"TC1300008487.hg.1","TC1300008487.hg.1","SLC7A1","solute carrier family 7 member 1",0.488953310959245,10.1951904602951,8.12694988886561,7.90819243852717e-06,0.00118909572290566,4.15402964398871
"TC0700008582.hg.1","TC0700008582.hg.1","SERPINE1","serpin family E member 1",1.41211617671772,8.09287375619655,8.12579717338721,7.91842434347185e-06,0.00118909572290566,4.15274056036816
"TC0200012297.hg.1","TC0200012297.hg.1","SRSF7","serine and arginine rich splicing factor 7",-0.602540630677101,8.18626600999344,-8.0512224487426,8.61182797924036e-06,0.00127936417097844,4.06900683861295
"TC0300013336.hg.1","TC0300013336.hg.1","LAMP3","lysosomal associated membrane protein 3",0.966813535192526,6.52730717848909,8.04436804007648,8.67878358455624e-06,0.00127936417097844,4.06127720535408
"TSUnmapped00000244.hg.1","TSUnmapped00000244.hg.1",NA,NA,0.595942967770373,10.4751250303231,8.00349302362082,9.08994171947706e-06,0.00132779257771416,4.01506563509529
"TC0400011695.hg.1","TC0400011695.hg.1","SEC24D","SEC24 homolog D, COPII coat complex component",0.647949225144136,8.12008170932556,7.96998084043218,9.44277100459685e-06,0.00136690490542218,3.97702776752478
"TC1100012992.hg.1","TC1100012992.hg.1","HSD17B12","hydroxysteroid 17-beta dehydrogenase 12",0.609583548374694,8.70562390095241,7.94082720693481,9.76177849341855e-06,0.00140046657885937,3.94382635255519
"TC0800008263.hg.1","TC0800008263.hg.1","ESRP1","epithelial splicing regulatory protein 1",0.52733012618296,11.0626915242729,7.92728999459677,9.91385376734684e-06,0.00140411097366616,3.92837446261603
"TC2000007682.hg.1","TC2000007682.hg.1","CEBPB","CCAAT enhancer binding protein beta",0.79596162505284,7.71419936118146,7.9230551362834,9.96195238971509e-06,0.00140411097366616,3.92353605027542
"TC0800006760.hg.1","TC0800006760.hg.1","FDFT1","farnesyl-diphosphate farnesyltransferase 1",0.773793167047591,9.71637557436673,7.79939675324969,1.14839363756296e-05,0.00160455556246624,3.78128500577157
"TC2000008027.hg.1","TC2000008027.hg.1","NTSR1","neurotensin receptor 1",0.559786858107216,11.0910157087109,7.77433898427734,1.18219866000548e-05,0.00163754897146276,3.75222996197676
"TC0500007804.hg.1","TC0500007804.hg.1","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase",0.644807950103838,9.44715239379395,7.76630691457207,1.19326110985253e-05,0.00163874525753081,3.74290010917307
"TC0900012055.hg.1","TC0900012055.hg.1","EXD3","exonuclease 3'-5' domain containing 3",1.14909889747002,4.87238922769747,7.67929041184116,1.32054983527442e-05,0.00179818599603299,3.64130830468316
"TC0800010158.hg.1","TC0800010158.hg.1","PLPP5","phospholipid phosphatase 5",0.789203776851934,7.6078424381827,7.66270946441672,1.34643001269485e-05,0.0018180199532757,3.6218424767903
"TC0900011611.hg.1","TC0900011611.hg.1","PIP5KL1","phosphatidylinositol-4-phosphate 5-kinase like 1",1.43669100220327,6.6076972405919,7.62394695620208,1.40909596738631e-05,0.00188677950033027,3.57620066809383
"TC0300014021.hg.1","TC0300014021.hg.1","CPOX","coproporphyrinogen oxidase",-1.03137075193673,7.81334847865141,-7.60006511038265,1.44926921463899e-05,0.00192453369758837,3.54798592318909
"TSUnmapped00000327.hg.1","TSUnmapped00000327.hg.1",NA,NA,0.658880080915079,10.1879277453938,7.57342469329197,1.49554836475185e-05,0.00196971074793711,3.51642678582399
"TSUnmapped00000777.hg.1","TSUnmapped00000777.hg.1",NA,NA,0.617360549463678,9.45466516109302,7.53668535987002,1.56200953892129e-05,0.00204051782694205,3.47275599462892
"TC1700012184.hg.1","TC1700012184.hg.1","CHRNB1","cholinergic receptor nicotinic beta 1 subunit",0.683589785689532,7.14568763660838,7.46040610688584,1.71041425441176e-05,0.00221636582579744,3.38153399307905
"TC0900008010.hg.1","TC0900008010.hg.1","PTPDC1","protein tyrosine phosphatase domain containing 1",1.46717717841079,5.97546116667043,7.45131833545778,1.72908608380481e-05,0.00222263641556605,3.37061610821036
"TC1300008533.hg.1","TC1300008533.hg.1","HSPH1","heat shock protein family H (Hsp110) member 1",-0.49287744304101,10.0448146834033,-7.42301382191651,1.78866522290907e-05,0.00228097403188119,3.3365432532675
"TC1400007710.hg.1","TC1400007710.hg.1","JDP2","Jun dimerization protein 2",0.636397683036558,7.32469488475413,7.39939006352357,1.84008991222321e-05,0.00232807596138602,3.30802569469907
"TC1600009944.hg.1","TC1600009944.hg.1","KCTD13","potassium channel tetramerization domain containing 13",0.524318182607989,8.52232542824964,7.34928902732035,1.95451206917371e-05,0.00237279869910391,3.24730599916572
"23075555","23075555",NA,NA,0.909637570238365,7.67207731898378,7.33393392664977,1.99110079313996e-05,0.00237279869910391,3.22863095338862
"23075693","23075693",NA,NA,0.909637570238365,7.67207731898378,7.33393392664977,1.99110079313996e-05,0.00237279869910391,3.22863095338862
"23075866","23075866",NA,NA,0.909637570238365,7.67207731898378,7.33393392664977,1.99110079313996e-05,0.00237279869910391,3.22863095338862
"23076012","23076012",NA,NA,0.909637570238365,7.67207731898378,7.33393392664977,1.99110079313996e-05,0.00237279869910391,3.22863095338862
"23076157","23076157",NA,NA,0.909637570238365,7.67207731898378,7.33393392664977,1.99110079313996e-05,0.00237279869910391,3.22863095338862
"23076325","23076325",NA,NA,0.909637570238365,7.67207731898378,7.33393392664977,1.99110079313996e-05,0.00237279869910391,3.22863095338862
"TC1500010800.hg.1","TC1500010800.hg.1","ALDH1A3","aldehyde dehydrogenase 1 family member A3",-0.60264466050946,8.81506343805544,-7.33290610000842,1.99357620350403e-05,0.00237279869910391,3.22737979880736
"TC0100010112.hg.1","TC0100010112.hg.1","SLC50A1","solute carrier family 50 member 1",0.784935145365475,7.04651351328941,7.29643383139559,2.08360246329984e-05,0.00245278763489764,3.18289322590289
"TC2200008370.hg.1","TC2200008370.hg.1","XBP1","X-box binding protein 1",0.626205513218816,8.86485623658999,7.28576549411754,2.11075798692281e-05,0.00245278763489764,3.16984767481626
"TC0700013441.hg.1","TC0700013441.hg.1","IFRD1","interferon related developmental regulator 1",0.501948314850083,9.04646448271742,7.28460915478239,2.11372423601697e-05,0.00245278763489764,3.16843277120784
"TC0300008316.hg.1","TC0300008316.hg.1","NECTIN3","nectin cell adhesion molecule 3",-0.69561851180706,8.79508767452537,-7.28145374271824,2.12184143173246e-05,0.00245278763489764,3.16457089596764
"TSUnmapped00000440.hg.1","TSUnmapped00000440.hg.1",NA,NA,0.618439932163649,7.43453270620487,7.27084548415712,2.1493784479085e-05,0.00245878483910292,3.15157795651673
"TC1900007777.hg.1","TC1900007777.hg.1","CEBPG","CCAAT enhancer binding protein gamma",0.554228425682332,9.28897137626621,7.26769363032648,2.15763419413437e-05,0.00245878483910292,3.14771472773355
"TC1200012622.hg.1","TC1200012622.hg.1","SLC48A1","solute carrier family 48 member 1",0.493246419586827,8.64414670055183,7.24469173117988,2.21892998057674e-05,0.00251082865689486,3.11948163641263
"TC1700010641.hg.1","TC1700010641.hg.1","KRT23","keratin 23",-0.679474567474145,6.07966951086948,-7.23462212533468,2.24635268604444e-05,0.00252408356359175,3.10709997738766
"TC2100007318.hg.1","TC2100007318.hg.1","RRP1B","ribosomal RNA processing 1B",-0.603308923327907,8.69501429488279,-7.2198324227971,2.28729482387704e-05,0.00253899641598032,3.08889014492759
"TC1900007382.hg.1","TC1900007382.hg.1","PGPEP1","pyroglutamyl-peptidase I",0.716829435489871,6.89599400146813,7.218426764426,2.29122778390059e-05,0.00253899641598032,3.08715792036132
"TC0300012323.hg.1","TC0300012323.hg.1","MGLL","monoglyceride lipase",1.02177814597767,6.12308589418846,7.19248921491277,2.36512469139377e-05,0.0025953290084372,3.05514748269451
